"insect_taxon","fungal_taxon","t_stat","p_perm","q_value_within_insect","q_value_global","insect_family","insect_subfamily","insect_genus","insect_species","fungal_kingdom","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","direction"
"Pityogenes hopkinsi","ASV_9910",-3.42487194445519,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA,"negative"
"Pityogenes hopkinsi","ASV_10210",-3.36379106440711,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA,"negative"
"Pityogenes hopkinsi","ASV_10756",-3.18571880288148,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_10890",-3.36008833871638,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Scopuloides","s__hydnoides","negative"
"Pityogenes hopkinsi","ASV_11115",-3.69763676901575,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_11266",-3.00761500727666,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_12101",-2.76599410274225,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriaceae","g__Ceramothyrium","s__carniolicum","negative"
"Pityogenes hopkinsi","ASV_12187",-3.75445477339884,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis",NA,NA,"negative"
"Pityogenes hopkinsi","ASV_12228",-3.86954952344873,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,"negative"
"Pityogenes hopkinsi","ASV_12404",-3.18164542268447,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__pinicola","negative"
"Pityogenes hopkinsi","ASV_12783",-3.20055710679271,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__erastii","negative"
"Pityogenes hopkinsi","ASV_13124",-3.66589989552561,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Flavoparmelia","s__caperata","negative"
"Pityogenes hopkinsi","ASV_13290",-3.27175476939778,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__cinerea","negative"
