	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_16756	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Irpicaceae	g__Cytidiella	NA
ASV_16757	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	NA	NA	NA
ASV_16758	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Chionosphaeraceae	NA	NA
ASV_16759	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16760	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Xylodon	s__ussuriensis
ASV_16761	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariales_fam_Incertae_sedis	g__Hansfordia	s__pulvinata
ASV_16762	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Bjerkandera	s__adusta
ASV_16763	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16764	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Hysteriales	f__Hysteriaceae	NA	NA
ASV_16765	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_16766	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Orbilia	NA
ASV_16767	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Bulleribasidiaceae_gen_Incertae_sedis	NA
ASV_16768	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	NA	NA	NA	NA
ASV_16769	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16770	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Myriangiales	f__Myriangiaceae	NA	NA
ASV_16771	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Dothideaceae	NA	NA
ASV_16772	NA	NA	NA	NA	NA	NA	NA
ASV_16773	NA	NA	NA	NA	NA	NA	NA
ASV_16774	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Schroeteria	s__delastrina
ASV_16775	NA	NA	NA	NA	NA	NA	NA
ASV_16776	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	NA	NA
ASV_16777	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiales	f__Cystobasidiaceae	g__Cystobasidium	NA
ASV_16778	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_16779	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Ohleria	s__modesta
