"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"asv","Anisandrus sayi","ASV_4044","Graphilbum",NA,69,32,6,1,31,5,32,0.027027027027027,0.0409051801748157,0.0189379859714695,-0.732820964631423,0.948,0.5105,1,1,0.205464726516755,0.778417792460622,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_25723","Ceratocystiopsis","manitobensis",69,4,4,2,2,2,63,0.333333333333333,0.0760856618785576,0.0951584007757435,2.7033627021646,0.063,1,0.126,1,0.0147379817952784,0.232649569768324,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_7819","Hawksworthiomyces",NA,69,4,5,2,2,3,62,0.285714285714286,0.0615932966483243,0.0774516600791887,2.89368864188081,0.046,1,0.092,1,0.0240659062279859,0.290103560530084,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_7618","Leptographium","lundbergii",69,4,7,2,2,5,60,0.222222222222222,0.0891014951920395,0.0798296583656391,1.66755977359264,0.167,0.9885,0.334,1,0.0484857738741771,0.396865038007154,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_15738","Graphilbum",NA,69,4,7,2,2,5,60,0.222222222222222,0.111232004891334,0.088509253486819,1.25399563275514,0.2605,0.9735,0.521,1,0.0484857738741771,0.396865038007154,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_3603","Sporothrix","eucastaneae",69,4,10,2,2,8,57,0.166666666666667,0.0401675196572653,0.0491211087248158,2.57525023952675,0.063,1,0.126,1,0.0974955494556976,0.543189489824601,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_16537","Graphilbum",NA,69,4,3,1,3,2,63,0.166666666666667,0.0516091379022849,0.0770778298255296,1.49274478828506,0.31,1,0.62,1,0.166316753826774,0.719377464700006,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_17726",NA,NA,69,4,3,1,3,2,63,0.166666666666667,0.0805902951475737,0.105346489937435,0.817078685490265,0.4215,0.9555,0.843,1,0.166316753826774,0.719377464700006,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_6746","Graphilbum",NA,69,4,4,1,3,3,62,0.142857142857143,0.0686533743062001,0.0890231086121658,0.83353378361809,0.4215,0.9555,0.843,1,0.216843011170606,0.804364998309892,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_8274","Sporothrix","rossii",69,4,12,2,2,10,55,0.142857142857143,0.148130109010549,0.061681559281239,-0.0854869139958602,0.766,0.7635,1,1,0.136924075275795,0.66022299569347,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_1646","Raffaelea","arxii",69,4,5,1,3,4,61,0.125,0.0387068534267134,0.0578083723691463,1.49274478828508,0.31,1,0.62,1,0.265037287406261,0.865061481276482,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_7106","Ophiostoma","denticiliatum",69,4,5,1,3,4,61,0.125,0.0387068534267134,0.0578083723691463,1.49274478828508,0.31,1,0.62,1,0.265037287406261,0.865061481276482,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_9363","Sporothrix",NA,69,4,5,1,3,4,61,0.125,0.127251125562781,0.0889833218669812,-0.0252982864153585,0.7885,0.8215,1,1,0.265037287406261,0.865061481276482,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_15268","Grosmannia","olivacea",69,4,5,1,3,4,61,0.125,0.0645144000571716,0.0823220260408397,0.734743820722071,0.436,0.9375,0.872,1,0.265037287406261,0.865061481276482,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_8131","Graphilbum",NA,69,4,6,1,3,5,60,0.111111111111111,0.143424887046697,0.102182316255785,-0.316236479262201,0.828,0.68,1,1,0.31097245694337,0.893932158878959,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_13249","Ophiostoma","denticulatum",69,4,6,1,3,5,60,0.111111111111111,0.0749124562281153,0.071127937323054,0.508923163602878,0.59,0.9325,1,1,0.31097245694337,0.893932158878959,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_5162","Sporothrix",NA,69,4,7,1,3,6,59,0.1,0.0170085042521262,0.0375801502845483,2.20838647848615,0.1705,1,0.341,1,0.354720237454902,0.928491546661409,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_6959","Ophiostoma","adjuncti",69,4,7,1,3,6,59,0.1,0.150189181892535,0.106446668233908,-0.47149603388477,0.8665,0.604,1,1,0.354720237454902,0.928491546661409,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_15258","Ophiostoma","pallidulum",69,4,7,1,3,6,59,0.1,0.105010838752709,0.0874000553247495,-0.0573322148835053,0.7265,0.764,1,1,0.354720237454902,0.928491546661409,"avoiding",FALSE
